race,age,engnat,gender,hand,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
10,13,2,1,1,5,1,5,1,4,1,5,2,3,1
3,13,1,1,1,4,2,4,2,5,2,5,2,5,3
9,13,1,2,1,4,1,4,2,4,2,4,2,4,2
3,13,1,1,1,1,1,5,2,5,1,5,2,5,5
3,13,1,2,1,3,1,4,1,4,1,5,2,5,3
3,14,1,1,1,5,3,4,4,5,2,5,3,5,5
3,13,1,2,1,2,2,3,3,3,3,2,3,2,4
5,13,1,1,1,5,1,4,2,4,2,5,5,3,2
13,13,1,2,1,3,1,5,3,5,4,5,3,5,5
2,14,1,1,2,1,1,1,1,1,1,5,5,5,1
1,13,1,1,1,3,1,5,1,5,1,5,1,5,1
1,13,1,1,1,5,1,5,1,5,1,5,1,5,2
5,13,1,1,1,5,1,5,1,5,1,5,1,5,5
1,14,1,2,1,3,5,3,4,2,4,4,3,4,5
5,13,1,2,1,5,1,5,5,5,1,5,3,5,1
3,13,1,1,1,1,5,2,4,2,5,2,5,1,5
1,13,1,2,1,5,1,5,1,5,1,5,2,5,1
4,14,1,1,1,4,1,5,4,5,4,5,1,5,4
11,25,2,1,1,4,5,2,2,1,4,2,5,2,5
1,13,1,2,1,5,4,1,3,5,3,5,1,5,1
1,13,1,1,1,5,1,5,1,5,1,5,1,5,1
13,24,2,2,1,5,5,5,1,1,5,1,1,5,5
3,42,2,2,1,2,3,3,3,3,3,2,3,2,4
3,33,2,1,2,5,1,5,5,5,1,5,1,5,2
6,20,1,2,1,3,4,4,3,3,3,3,5,2,5
3,41,1,2,1,3,2,5,3,5,1,5,5,1,3
3,26,1,2,1,4,1,5,2,5,1,5,2,5,2
13,17,1,1,1,5,1,5,4,5,4,5,5,5,4
3,38,1,2,2,4,2,4,2,4,2,4,3,5,3
3,17,1,1,3,2,1,5,4,5,2,5,1,5,2
13,35,1,2,1,1,1,5,5,2,3,1,5,1,5
1,21,1,1,1,2,4,1,4,2,3,2,5,1,4
13,21,2,1,1,4,4,2,3,2,4,2,3,4,2
3,27,1,2,1,3,1,5,1,5,1,5,3,4,1
1,17,1,2,1,1,5,3,5,2,5,1,5,2,5
1,28,1,2,1,4,1,5,1,5,1,4,1,5,1
11,14,1,2,1,3,3,4,4,3,3,3,4,3,4
3,17,2,2,1,3,2,3,3,3,2,2,3,2,3
12,17,1,2,1,4,2,5,3,4,2,4,4,4,4
13,17,1,1,1,3,1,3,3,4,4,3,4,5,5
13,16,1,2,1,3,3,5,2,4,2,4,1,2,4
13,16,2,1,1,4,2,3,2,5,3,5,2,4,2
13,16,1,2,1,2,1,5,5,5,1,5,5,3,5
3,17,1,1,1,3,3,3,3,4,2,4,4,3,4
13,15,1,2,1,1,2,4,1,3,2,1,1,3,4
11,16,1,2,1,3,3,2,2,4,3,2,5,1,4
13,16,1,1,1,3,2,3,2,4,1,3,4,5,3
13,1997,1,2,1,3,1,3,1,3,2,5,3,5,5
9,17,1,2,1,2,2,5,4,4,5,2,4,4,3
3,16,2,1,1,1,5,2,5,2,5,2,5,2,5
3,17,1,2,1,2,4,3,3,2,4,1,3,2,5
3,33,1,2,1,2,2,3,3,3,2,1,3,2,4
3,18,1,1,2,4,3,2,4,4,2,4,4,2,5
13,20,1,1,2,5,1,5,1,5,1,5,1,5,2
3,40,2,2,1,1,5,1,5,1,1,1,5,1,5
3,19,2,2,1,1,4,2,5,2,2,2,3,5,5
3,24,1,2,1,1,4,2,4,3,2,1,5,2,5
11,17,2,1,1,2,4,3,5,3,1,3,5,2,5
1,18,2,1,1,3,1,5,1,5,1,5,1,5,4
11,15,1,2,1,1,5,1,5,1,5,1,5,1,5
8,17,1,1,1,1,5,2,5,2,5,1,4,1,5
3,19,2,2,1,4,4,3,4,3,5,3,2,4,3
13,24,1,2,1,3,1,3,3,4,1,5,5,1,5
3,32,1,2,1,1,3,3,4,3,3,2,4,1,5
3,20,2,2,1,2,2,3,4,3,1,1,3,2,5
3,30,1,1,2,2,2,4,4,3,2,2,4,1,3
3,16,2,2,1,1,5,1,5,3,3,1,5,1,5
1,34,2,1,3,2,1,3,1,4,1,1,4,1,2
3,31,2,2,1,3,2,4,3,4,2,2,3,3,4
13,27,2,2,1,5,1,5,3,5,3,5,1,5,5
3,55,1,2,1,3,1,3,5,5,1,5,3,5,1
3,35,2,2,1,4,3,4,2,4,2,4,2,4,2
3,60,1,1,1,1,5,4,5,2,4,1,5,1,5
3,48,1,1,0,1,2,4,4,4,3,2,1,2,4
3,32,1,1,1,1,5,1,5,1,5,1,5,1,5
3,60,1,1,1,2,1,3,2,4,1,4,2,4,4
3,58,1,2,1,3,3,4,3,5,1,3,4,3,3
3,22,2,1,1,2,4,2,5,2,4,2,1,2,4
11,23,1,2,1,5,2,5,2,5,2,5,2,5,2
3,19,2,1,2,3,4,4,4,2,4,2,3,3,5
3,24,1,2,1,4,1,4,1,5,1,5,2,4,1
12,25,2,2,1,1,4,2,4,4,3,2,5,2,4
13,45,2,2,1,1,3,4,3,5,2,4,3,5,3
3,25,2,1,1,1,3,3,4,2,2,2,4,2,4
3,25,1,2,1,3,3,5,2,5,2,3,4,3,3
6,14,1,2,2,2,4,1,5,2,4,1,5,3,4
1,20,2,2,1,1,4,5,4,2,5,5,1,5,5
3,20,1,2,1,4,1,5,2,4,1,5,2,3,2
3,17,1,2,1,3,2,4,3,4,3,3,4,4,3
3,22,1,1,1,3,3,3,4,2,4,2,3,2,5
3,30,1,2,1,2,3,3,4,2,3,1,3,2,4
12,29,2,2,1,3,3,3,3,5,1,5,1,5,5
1,22,1,2,1,2,4,4,4,3,2,3,5,2,4
3,15,1,2,1,1,4,1,5,2,3,1,5,1,5
3,13,1,2,1,3,3,3,3,2,3,1,2,3,4
3,14,1,2,1,1,4,3,5,2,4,1,5,2,5
3,18,1,2,1,2,3,3,4,3,4,4,4,2,4
3,38,2,1,1,2,3,2,4,1,2,2,5,2,4
13,18,1,2,1,3,3,3,3,3,3,3,4,2,4
13,30,1,2,1,2,2,3,3,2,1,3,2,1,4
3,19,1,2,1,1,5,2,5,1,4,1,5,2,5
3,32,1,1,1,4,2,3,2,4,2,3,2,4,3
3,18,1,1,1,2,3,4,5,4,3,2,4,3,5
3,28,2,1,1,1,4,3,3,2,3,1,3,5,4
3,55,1,2,1,3,1,5,2,5,3,4,3,3,4
3,31,1,1,2,3,2,2,5,4,2,1,5,1,5
11,23,1,2,1,1,4,3,3,2,2,3,2,4,4
3,16,1,1,1,2,2,1,4,4,1,5,5,2,5
3,17,1,2,1,3,1,5,1,5,1,5,1,5,3
3,14,1,2,1,2,3,1,5,2,1,3,3,2,5
3,43,1,2,1,1,4,3,4,3,3,3,4,3,4
3,44,1,2,1,3,3,4,4,3,4,3,1,1,4
4,21,2,2,1,4,4,2,4,4,1,4,2,5,4
1,22,1,2,1,3,3,3,1,4,2,2,3,3,3
3,19,1,2,1,2,1,4,1,3,1,3,3,4,2
3,42,1,2,1,4,4,3,3,3,3,3,4,3,4
3,17,1,3,1,1,3,2,3,4,1,1,4,2,4
3,39,1,2,1,4,1,4,2,4,1,4,2,5,3
3,20,2,2,1,1,4,2,3,2,3,2,3,2,5
5,18,1,1,1,2,3,4,4,3,1,3,4,3,3
11,14,1,1,1,5,2,3,2,4,3,4,2,5,2
11,18,2,1,2,1,4,5,4,4,5,2,2,5,4
3,25,1,1,2,4,2,4,2,4,2,4,2,4,4
3,17,1,1,2,1,3,2,4,1,4,1,4,1,4
3,21,1,1,1,2,5,3,4,2,1,2,4,4,5
11,13,1,2,1,1,5,3,4,2,4,1,4,2,5
13,36,1,1,1,5,5,5,2,5,1,5,3,5,2
3,17,1,1,1,1,5,2,5,1,2,1,4,2,5
1,30,2,2,1,1,5,1,5,1,4,1,5,1,5
11,24,2,2,2,2,2,4,3,3,2,3,3,4,5
3,16,2,2,1,1,3,2,5,2,2,2,4,2,5
1,16,1,2,1,2,4,3,4,3,2,1,5,1,5
3,51,1,1,1,2,4,2,3,2,4,2,5,2,4
1,20,2,1,1,4,1,5,3,5,2,4,2,3,5
3,43,1,1,1,4,1,4,2,4,1,4,2,5,2
3,25,1,1,1,1,4,2,5,1,1,1,5,1,5
3,28,1,1,1,5,3,2,3,5,3,3,3,2,4
1,13,1,2,1,2,5,2,5,3,1,3,5,2,5
3,49,1,2,1,2,1,5,5,4,3,3,5,3,5
4,17,1,1,1,4,4,4,5,5,2,5,5,2,5
11,19,2,2,1,1,3,3,3,2,4,3,3,3,5
4,37,2,2,1,1,3,1,5,2,3,1,3,5,3
11,23,2,1,1,1,1,3,4,5,2,1,4,3,5
11,21,1,1,1,2,4,3,4,2,4,3,4,4,4
3,29,1,2,1,1,3,4,5,4,4,3,4,1,4
3,24,1,2,1,4,1,5,2,5,1,5,2,5,1
11,16,2,2,1,1,5,1,3,1,5,1,4,3,5
1,17,1,1,2,4,3,4,3,2,3,2,3,4,4
13,20,2,1,1,3,2,4,1,2,1,3,1,5,4
11,21,2,1,1,1,4,2,5,1,4,1,5,1,5
9,17,2,2,1,5,3,4,1,5,2,5,3,4,3
11,60,2,1,1,5,3,5,4,5,2,5,1,5,4
4,22,2,2,1,3,2,5,4,5,1,2,2,5,5
3,44,1,1,1,4,3,1,4,1,2,1,4,3,5
3,58,1,2,1,3,3,5,2,4,1,4,3,5,4
3,16,1,2,1,2,1,2,2,3,2,1,4,5,5
3,16,1,1,1,4,1,5,1,5,1,5,2,5,1
3,19,1,2,1,1,3,2,4,1,3,1,4,2,4
3,46,2,2,1,1,3,3,3,4,2,1,2,5,4
13,21,2,2,1,4,1,5,3,4,2,4,3,3,2
13,21,2,2,1,5,5,1,5,1,5,1,1,5,5
3,23,1,2,1,2,3,3,4,5,2,3,2,4,2
11,18,1,2,1,3,1,4,4,4,2,3,2,5,4
1,16,2,1,1,3,5,2,3,2,1,2,2,5,5
11,22,2,2,1,3,2,4,2,4,3,4,2,4,4
3,24,2,2,1,3,1,5,2,5,1,4,2,4,3
3,21,1,2,2,2,3,2,3,2,2,1,3,3,4
13,39,1,2,3,1,5,1,4,4,2,1,4,1,4
13,18,2,2,1,4,1,3,4,5,1,5,1,5,1
11,20,2,1,1,2,4,4,4,3,4,2,2,4,4
11,20,2,1,1,2,4,4,4,3,4,3,4,4,4
13,47,2,1,1,1,5,3,5,3,5,1,3,5,3
11,17,2,2,1,3,1,4,3,4,1,3,1,4,4
3,23,2,1,1,3,2,4,3,4,2,2,4,4,4
3,22,1,2,1,3,2,3,3,3,2,3,3,3,3
3,22,1,1,1,2,4,2,3,4,1,4,4,2,4
11,18,1,1,2,5,3,5,3,5,1,5,1,5,1
11,23,1,1,1,1,5,2,5,3,5,3,5,5,4
5,27,1,1,1,3,5,1,5,1,1,1,5,1,5
